customer_id,DistinctItems,DistinctLocations,NetSpend,DistinctCity,DistinctState,customer_contact_acquisition_date,household_has_dillards_credit_card,unsubscribed_yn,total_email_sent_count,total_email_open_count,total_email_click_count,product_email_sent_count,product_email_open_count,product_email_click_count,sale_email_sent_count,sale_email_open_count,sale_email_click_count,last_email_open_date,last_email_click_date
214651294,1,1,160,1,1,9/5/2015,N,Y,36,7,0,32,6,0,2,1,0,6/30/2018,NULL
225910515,2,1,150.25,1,1,5/10/2018,N,Y,36,4,1,32,3,0,2,0,0,6/18/2018,5/24/2018
225805441,1,1,150,1,1,4/28/2018,N,Y,35,1,0,32,1,0,2,0,0,6/19/2018,NULL
215151047,8,1,140.35,1,1,10/19/2015,N,Y,34,9,0,32,8,0,2,1,0,6/30/2018,NULL
183464718,3,2,86.39,2,1,8/7/2008,N,Y,40,0,0,32,0,0,2,0,0,NULL,NULL
222846603,1,1,14.7,1,1,7/28/2017,N,N,36,2,0,32,2,0,2,0,0,6/26/2018,NULL
223831337,63,1,2173.08,1,1,11/2/2017,N,Y,40,3,1,33,2,1,2,1,0,7/5/2018,6/3/2018
223587739,7,3,1013.7,3,2,10/8/2017,N,Y,38,0,0,33,0,0,2,0,0,NULL,NULL
225067820,17,1,731,1,1,2/16/2018,N,Y,42,9,0,33,5,0,2,0,0,6/3/2018,NULL
222622279,23,1,608.89,1,1,7/7/2017,N,Y,37,4,0,33,3,0,2,1,0,6/29/2018,NULL
225423392,7,1,556,1,1,3/21/2018,N,N,36,1,0,33,1,0,2,0,0,6/20/2018,NULL
224195328,3,1,397,1,1,12/5/2017,N,Y,36,1,0,33,1,0,2,0,0,5/29/2018,NULL
224798142,4,2,382,2,2,1/15/2018,N,Y,42,0,0,33,0,0,2,0,0,NULL,NULL
225439509,18,2,340.88,1,1,3/24/2018,N,Y,36,0,0,33,0,0,2,0,0,NULL,NULL
225169160,5,2,303,2,2,2/25/2018,N,Y,37,7,0,33,6,0,2,1,0,6/28/2018,NULL
224265216,18,1,291.63,1,1,12/9/2017,N,Y,35,29,2,33,27,2,2,2,0,6/30/2018,6/24/2018
225095647,3,1,281.2,1,1,2/17/2018,N,Y,38,11,4,33,11,4,2,0,0,6/23/2018,6/14/2018
132510966,2,2,191.5,2,2,1/30/2000,N,Y,40,7,0,33,6,0,2,1,0,7/1/2018,NULL
126231440,3,3,135.65,3,2,8/31/1997,N,Y,39,7,2,33,4,0,2,2,2,6/30/2018,6/30/2018
202564574,1,1,98,1,1,5/16/2013,N,Y,39,1,0,33,1,0,2,0,0,6/5/2018,NULL
164880803,1,1,98,1,1,2/25/2006,N,Y,41,1,0,33,1,0,2,0,0,6/14/2018,NULL
224903468,1,1,89,1,1,1/27/2018,N,Y,36,2,0,33,2,0,2,0,0,6/6/2018,NULL
213365874,1,1,64.8,1,1,5/19/2015,N,Y,35,17,0,33,15,0,2,2,0,6/30/2018,NULL
224108831,1,1,59.4,1,1,11/29/2017,N,Y,36,0,0,33,0,0,2,0,0,NULL,NULL
208226321,2,1,34.8,1,1,5/29/2014,N,Y,39,8,0,33,8,0,2,0,0,6/25/2018,NULL
218138530,10,2,818.16,2,2,5/6/2016,N,Y,41,4,0,34,3,0,2,0,0,6/11/2018,NULL
214104976,10,1,740.18,1,1,7/25/2015,N,N,37,12,4,34,11,3,2,1,1,6/30/2018,6/30/2018
225735223,2,1,648.5,1,1,4/21/2018,N,Y,43,1,1,34,1,1,2,0,0,5/25/2018,5/25/2018
225581930,8,1,480.95,1,1,4/7/2018,N,Y,36,0,0,34,0,0,2,0,0,NULL,NULL
188336468,19,4,469.52,3,2,10/15/2009,N,Y,42,1,0,34,1,0,2,0,0,5/29/2018,NULL
224125816,5,3,332.64,3,2,12/1/2017,N,Y,43,0,0,34,0,0,2,0,0,NULL,NULL
222760507,4,2,262.15,2,2,7/21/2017,N,Y,38,2,1,34,1,1,2,1,0,6/28/2018,5/28/2018
224246550,10,1,256.8,1,1,12/8/2017,N,Y,36,0,0,34,0,0,2,0,0,NULL,NULL
225441444,2,1,208,1,1,3/24/2018,N,N,37,1,0,34,0,0,2,1,0,6/30/2018,NULL
175280331,1,1,108.36,1,1,3/22/2007,N,Y,42,42,0,34,34,0,2,2,0,7/2/2018,NULL
206517519,2,1,105.69,1,1,2/6/2014,N,Y,39,39,1,34,34,1,2,2,0,6/30/2018,5/31/2018
222114783,1,1,101.99,1,1,5/11/2017,N,N,38,0,0,34,0,0,2,0,0,NULL,NULL
